FORDULO	HAZAICSAPAT	VENDEGCSAPAT	HAZAIGOL	VENDEGGOL
13	Swansea_City	Aston_Villa	0	0
13	Liverpool_FC	Manchester_City	1	1
14	Newcastle_United	Chelsea_FC	0	3
14	Blackburn_Rovers	Swansea_City	4	2
14	Manchester_City	Norwich_City	5	1
14	Queens_Park_Rangers	West_Bromwich_Albion	1	1
14	Tottenham_Hotspur	Bolton_Wanderers	3	0
14	Wigan_Athletic	Arsenal_FC	0	4
14	Aston_Villa	Manchester_United	0	1
14	Everton_FC	Stoke_City	0	1
14	Wolverhampton_Wanderers	Sunderland_AFC	2	1
14	Fulham_FC	Liverpool_FC	1	0
15	Arsenal_FC	Everton_FC	1	0
15	Bolton_Wanderers	Aston_Villa	1	2
15	Liverpool_FC	Queens_Park_Rangers	1	0
15	Manchester_United	Wolverhampton_Wanderers	4	1
15	Norwich_City	Newcastle_United	4	2
15	Swansea_City	Fulham_FC	2	0
15	West_Bromwich_Albion	Wigan_Athletic	1	2
15	Sunderland_AFC	Blackburn_Rovers	2	1
15	Stoke_City	Tottenham_Hotspur	2	1
15	Chelsea_FC	Manchester_City	2	1
16	Blackburn_Rovers	West_Bromwich_Albion	1	2
16	Everton_FC	Norwich_City	1	1
16	Fulham_FC	Bolton_Wanderers	2	0
16	Newcastle_United	Swansea_City	0	0
16	Wolverhampton_Wanderers	Stoke_City	1	2
16	Wigan_Athletic	Chelsea_FC	1	1
16	Queens_Park_Rangers	Manchester_United	0	2
16	Aston_Villa	Liverpool_FC	0	2
16	Tottenham_Hotspur	Sunderland_AFC	1	0
16	Manchester_City	Arsenal_FC	1	0
17	Wolverhampton_Wanderers	Norwich_City	2	2
17	Blackburn_Rovers	Bolton_Wanderers	1	2
17	Aston_Villa	Arsenal_FC	1	2
17	Manchester_City	Stoke_City	3	0
17	Newcastle_United	West_Bromwich_Albion	2	3
17	Queens_Park_Rangers	Sunderland_AFC	2	3
17	Wigan_Athletic	Liverpool_FC	0	0
17	Everton_FC	Swansea_City	1	0
17	Fulham_FC	Manchester_United	0	5
17	Tottenham_Hotspur	Chelsea_FC	1	1
18	Chelsea_FC	Fulham_FC	1	1
18	Bolton_Wanderers	Newcastle_United	0	2
18	Liverpool_FC	Blackburn_Rovers	1	1
18	Manchester_United	Wigan_Athletic	5	0
18	Sunderland_AFC	Everton_FC	1	1
18	West_Bromwich_Albion	Manchester_City	0	0
18	Stoke_City	Aston_Villa	0	0
18	Arsenal_FC	Wolverhampton_Wanderers	1	1
18	Swansea_City	Queens_Park_Rangers	1	1
18	Norwich_City	Tottenham_Hotspur	0	2
19	Liverpool_FC	Newcastle_United	3	1
19	Manchester_United	Blackburn_Rovers	2	3
19	Arsenal_FC	Queens_Park_Rangers	1	0
19	Bolton_Wanderers	Wolverhampton_Wanderers	1	1
19	Chelsea_FC	Aston_Villa	1	3
19	Norwich_City	Fulham_FC	1	1
19	Stoke_City	Wigan_Athletic	2	2
19	Swansea_City	Tottenham_Hotspur	1	1
19	West_Bromwich_Albion	Everton_FC	0	1
19	Sunderland_AFC	Manchester_City	1	0
20	Blackburn_Rovers	Stoke_City	1	2
20	Aston_Villa	Swansea_City	0	2
20	Queens_Park_Rangers	Norwich_City	1	2
20	Wolverhampton_Wanderers	Chelsea_FC	1	2
20	Fulham_FC	Arsenal_FC	2	1
20	Tottenham_Hotspur	West_Bromwich_Albion	1	0
20	Wigan_Athletic	Sunderland_AFC	1	4
20	Manchester_City	Liverpool_FC	3	0
20	Everton_FC	Bolton_Wanderers	1	2
20	Newcastle_United	Manchester_United	3	0
21	Aston_Villa	Everton_FC	1	1
21	Blackburn_Rovers	Fulham_FC	3	1
21	Chelsea_FC	Sunderland_AFC	1	0
21	Liverpool_FC	Stoke_City	0	0
21	Manchester_United	Bolton_Wanderers	3	0
21	Tottenham_Hotspur	Wolverhampton_Wanderers	1	1
21	West_Bromwich_Albion	Norwich_City	1	2
21	Newcastle_United	Queens_Park_Rangers	1	0
21	Swansea_City	Arsenal_FC	3	2
21	Wigan_Athletic	Manchester_City	0	1
22	Norwich_City	Chelsea_FC	0	0
22	Everton_FC	Blackburn_Rovers	1	1
22	Fulham_FC	Newcastle_United	5	2
22	Queens_Park_Rangers	Wigan_Athletic	3	1
22	Stoke_City	West_Bromwich_Albion	1	2
22	Sunderland_AFC	Swansea_City	2	0
22	Wolverhampton_Wanderers	Aston_Villa	2	3
22	Bolton_Wanderers	Liverpool_FC	3	1
22	Manchester_City	Tottenham_Hotspur	3	2
22	Arsenal_FC	Manchester_United	1	2
23	Swansea_City	Chelsea_FC	1	1
23	Tottenham_Hotspur	Wigan_Athletic	3	1
23	Wolverhampton_Wanderers	Liverpool_FC	0	3
23	Manchester_United	Stoke_City	2	0
23	Everton_FC	Manchester_City	1	0
23	Aston_Villa	Queens_Park_Rangers	2	2
23	Bolton_Wanderers	Arsenal_FC	0	0
23	Sunderland_AFC	Norwich_City	3	0
23	Fulham_FC	West_Bromwich_Albion	1	1
23	Blackburn_Rovers	Newcastle_United	0	2
24	Arsenal_FC	Blackburn_Rovers	7	1
24	Norwich_City	Bolton_Wanderers	2	0
24	Queens_Park_Rangers	Wolverhampton_Wanderers	1	2
24	Stoke_City	Sunderland_AFC	0	1
24	West_Bromwich_Albion	Swansea_City	1	2
24	Wigan_Athletic	Everton_FC	1	1
24	Manchester_City	Fulham_FC	3	0
24	Newcastle_United	Aston_Villa	2	1
24	Chelsea_FC	Manchester_United	3	3
24	Liverpool_FC	Tottenham_Hotspur	0	0
25	Manchester_United	Liverpool_FC	2	1
25	Blackburn_Rovers	Queens_Park_Rangers	3	2
25	Bolton_Wanderers	Wigan_Athletic	1	2
25	Everton_FC	Chelsea_FC	2	0
25	Fulham_FC	Stoke_City	2	1
25	Sunderland_AFC	Arsenal_FC	1	2
25	Swansea_City	Norwich_City	2	3
25	Tottenham_Hotspur	Newcastle_United	5	0
25	Wolverhampton_Wanderers	West_Bromwich_Albion	1	5
25	Aston_Villa	Manchester_City	0	1
26	Chelsea_FC	Bolton_Wanderers	3	0
26	Newcastle_United	Wolverhampton_Wanderers	2	2
26	Queens_Park_Rangers	Fulham_FC	0	1
26	West_Bromwich_Albion	Sunderland_AFC	4	0
26	Wigan_Athletic	Aston_Villa	0	0
26	Manchester_City	Blackburn_Rovers	3	0
26	Arsenal_FC	Tottenham_Hotspur	5	2
26	Norwich_City	Manchester_United	1	2
26	Stoke_City	Swansea_City	2	0
26	Liverpool_FC	Everton_FC	3	0
27	Liverpool_FC	Arsenal_FC	1	2
27	Blackburn_Rovers	Aston_Villa	1	1
27	Manchester_City	Bolton_Wanderers	2	0
27	Queens_Park_Rangers	Everton_FC	1	1
27	Stoke_City	Norwich_City	1	0
27	West_Bromwich_Albion	Chelsea_FC	1	0
27	Wigan_Athletic	Swansea_City	0	2
27	Newcastle_United	Sunderland_AFC	1	1
27	Fulham_FC	Wolverhampton_Wanderers	5	0
27	Tottenham_Hotspur	Manchester_United	1	3
28	Bolton_Wanderers	Queens_Park_Rangers	2	1
28	Aston_Villa	Fulham_FC	1	0
28	Chelsea_FC	Stoke_City	1	0
28	Sunderland_AFC	Liverpool_FC	1	0
28	Wolverhampton_Wanderers	Blackburn_Rovers	0	2
28	Everton_FC	Tottenham_Hotspur	1	0
28	Manchester_United	West_Bromwich_Albion	2	0
28	Swansea_City	Manchester_City	1	0
28	Norwich_City	Wigan_Athletic	1	1
28	Arsenal_FC	Newcastle_United	2	1
29	Fulham_FC	Swansea_City	0	3
29	Wigan_Athletic	West_Bromwich_Albion	1	1
29	Wolverhampton_Wanderers	Manchester_United	0	5
29	Newcastle_United	Norwich_City	1	0
29	Blackburn_Rovers	Sunderland_AFC	2	0
29	Manchester_City	Chelsea_FC	2	1
29	Tottenham_Hotspur	Stoke_City	1	1
29	Everton_FC	Arsenal_FC	0	1
29	Queens_Park_Rangers	Liverpool_FC	3	2
29	Aston_Villa	Bolton_Wanderers	1	2
30	Chelsea_FC	Tottenham_Hotspur	0	0
30	Arsenal_FC	Aston_Villa	3	0
30	Bolton_Wanderers	Blackburn_Rovers	2	1
30	Liverpool_FC	Wigan_Athletic	1	2
30	Norwich_City	Wolverhampton_Wanderers	2	1
30	Sunderland_AFC	Queens_Park_Rangers	3	1
30	Swansea_City	Everton_FC	0	2
30	Stoke_City	Manchester_City	1	1
30	West_Bromwich_Albion	Newcastle_United	1	3
30	Manchester_United	Fulham_FC	1	0
31	Aston_Villa	Chelsea_FC	2	4
31	Everton_FC	West_Bromwich_Albion	2	0
31	Fulham_FC	Norwich_City	2	1
31	Manchester_City	Sunderland_AFC	3	3
31	Queens_Park_Rangers	Arsenal_FC	2	1
31	Wigan_Athletic	Stoke_City	2	0
31	Wolverhampton_Wanderers	Bolton_Wanderers	2	3
31	Newcastle_United	Liverpool_FC	2	0
31	Tottenham_Hotspur	Swansea_City	3	1
31	Blackburn_Rovers	Manchester_United	0	2
32	Swansea_City	Newcastle_United	0	2
32	Sunderland_AFC	Tottenham_Hotspur	0	0
32	Bolton_Wanderers	Fulham_FC	0	3
32	Chelsea_FC	Wigan_Athletic	2	1
32	Liverpool_FC	Aston_Villa	1	1
32	Norwich_City	Everton_FC	2	2
32	West_Bromwich_Albion	Blackburn_Rovers	3	0
32	Stoke_City	Wolverhampton_Wanderers	2	1
32	Manchester_United	Queens_Park_Rangers	2	0
